,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,St,alpha0,beta0,Stdown
0,31951.081351713576,6309.555972816878,474.0,327414.0,690.746835443038,3694156.67852374,1137.4396209604527,0.05496788664292175,0.022906515465624704,598.8884594351564,0.13625292706243433,1288443.5062320016,
1,32539.323881943004,6529.447542954514,478.0,311937.0,652.5878661087866,3340351.894999212,1135.8393539266053,0.051931292346502664,0.021854461773854222,603.3360480159243,0.13820224873878553,1211929.0564965466,
2,27581.64481036021,5171.520277722924,476.0,309694.0,650.6176470588235,3407542.450444884,1201.3722233982005,0.05177450729611495,0.020513763339093053,606.8895495536752,0.13696979149915908,1147817.2271246517,
3,33613.0845035972,6808.612058061159,481.0,315935.0,656.8295218295218,3382609.812933036,1133.1905230764276,0.052268832583927186,0.022186303151048616,606.1518466418926,0.13783953160278484,1233568.7150922357,
4,34662.947197063426,6943.001641059596,469.0,320882.0,684.1833688699361,3783175.817122126,1111.7201174059342,0.054445582568457954,0.022968891022849887,591.0816721134769,0.13345928940277307,1318995.7963998963,
5,34133.0580543586,6719.413117616567,471.0,309664.0,657.4607218683652,3759739.229348948,1135.6279815141113,0.052319061887058045,0.021699252351944743,595.2703560305071,0.13106869940373891,1268814.0319957156,
6,26404.743505780498,4852.482265443343,462.0,313280.0,678.0952380952381,3809478.497423211,1184.3014215807545,0.05396110451496641,0.021050409829483235,590.3503212451882,0.13653686087141437,1181579.1916162523,
7,29363.529424250177,5565.583913119277,475.0,320950.0,675.6842105263158,3772053.209750693,1183.2921056449122,0.05376924103720401,0.0215841797395851,603.8686735238638,0.1343009879179195,1231710.1886666745,
8,32303.13603698405,6332.977816917322,476.0,322909.0,678.3802521008404,3714914.5843999367,1150.3358378523699,0.05398378520888743,0.022338069382767667,601.9955934934493,0.13403037334929394,1277304.9657478123,
9,31847.95874485002,6211.43477210684,470.0,307724.0,654.731914893617,3552281.7323856954,1143.702023134944,0.052101910327670635,0.021411082046425566,595.2458824933366,0.13400459730101505,1224534.7386785462,
10,35677.80130547525,7419.782061740983,477.0,311434.0,652.901467505241,3269147.040605813,1099.5221123907697,0.05195624795270579,0.022539910743179986,598.956948335094,0.13920740467762002,1240915.0379534857,
11,32784.134540384905,6490.976628638876,474.0,320549.0,676.2637130801688,3843880.936784526,1136.1430381398507,0.05381535638519405,0.022451819947201117,598.7262384171489,0.13495809834664627,1274984.1709556247,
12,32087.791689499245,6415.918695259263,469.0,319755.0,681.7803837953091,3668396.0136024114,1114.6992201092005,0.05425435909205649,0.02282704962481428,591.8550320914101,0.13847331353837197,1263385.5075556124,
13,33118.324457021874,6500.888263949035,481.0,321614.0,668.6361746361746,3736481.794866032,1161.8324067071705,0.05320837616170147,0.022028331096663026,608.1758850133047,0.13254764894919013,1273684.1929036272,
14,29449.14744872009,5547.777253285654,466.0,320324.0,687.3905579399142,4013915.650039602,1165.4996128426455,0.05470080256541661,0.0218709416241785,592.61300431815,0.13290400803851782,1261193.1273226081,
15,27477.10938829895,5029.815487542039,469.0,330014.0,703.6545842217485,4265579.066189007,1202.2058549990502,0.05599505265408182,0.02184457810246243,598.7414715403171,0.13265992637157006,1261990.5469376699,
16,27144.519377581146,5314.98246861272,454.0,315777.0,695.5440528634361,3753954.60488754,1098.732195794987,0.05534963707569321,0.022870664324333226,575.4702443118833,0.14706480312664044,1191851.7163554295,
17,29842.08716299857,5971.980467909723,471.0,315768.0,670.4203821656051,3371977.810539982,1120.6408964221898,0.053350358885606804,0.022422900248728818,595.1013069501143,0.1440669713913513,1192832.7401591346,
18,27308.107842182257,5276.23911865105,457.0,317195.0,694.0809628008752,3682519.859965813,1119.0600034418185,0.05523320806787061,0.022556052409507116,580.1300976719288,0.14379183139140245,1202212.0378873148,
19,29483.049221752968,5869.453233885073,465.0,315633.0,678.7806451612903,3366334.7647866807,1110.484053672246,0.05401564747626258,0.022618313152180877,587.8383734535258,0.14390939610987233,1204545.6240974793,
